HOME_ROSTER_0,HOME_ROSTER_1,HOME_ROSTER_2,HOME_ROSTER_3,HOME_ROSTER_4,AWAY_ROSTER_0,AWAY_ROSTER_1,AWAY_ROSTER_2,AWAY_ROSTER_3,AWAY_ROSTER_4,HOME_SCORE_NORM48,AWAY_SCORE_NORM48,TIME_ELAPSED,TIME_ENDING
J. Tatum,G. Williams,M. Smart,J. Brown,R. Williams,A. Wiggins,K. Looney,K. Thompson,O. Porter,J. Poole,133,99,173,2160
J. Tatum,P. Pritchard,G. Williams,M. Smart,R. Williams,A. Wiggins,D. Green,G. Payton,S. Curry,J. Poole,149,33,173,2333
J. Tatum,G. Williams,M. Smart,J. Brown,R. Williams,A. Wiggins,D. Green,K. Thompson,O. Porter,S. Curry,52,86,166,2499
J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,A. Wiggins,D. Green,K. Thompson,O. Porter,S. Curry,161,0,89,2588
J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,A. Wiggins,D. Green,K. Thompson,S. Curry,J. Poole,0,128,45,2633
J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,A. Wiggins,A. Iguodala,K. Thompson,S. Curry,J. Poole,106,53,108,2741
J. Tatum,A. Horford,P. Pritchard,G. Williams,J. Brown,J. Kuminga,D. Lee,J. Poole,J. Toscano-Anderson,M. Moody,169,0,17,2758
A. Nesmith,S. Hauser,P. Pritchard,G. Williams,J. Brown,J. Kuminga,D. Lee,J. Poole,J. Toscano-Anderson,M. Moody,1440,0,2,2760
J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,A. Wiggins,K. Thompson,S. Curry,O. Porter,D. Green,124,62,277,277
J. Tatum,M. Smart,J. Brown,D. White,R. Williams,A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,0,0,21,298
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,62,125,138,436
A. Horford,G. Williams,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,110,0,26,462
A. Horford,G. Williams,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,K. Thompson,S. Curry,O. Porter,54,163,53,515
A. Horford,G. Williams,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,G. Payton,S. Curry,O. Porter,34,274,84,599
J. Tatum,G. Williams,J. Brown,D. White,R. Williams,K. Looney,G. Payton,S. Curry,O. Porter,J. Poole,238,95,121,720
J. Tatum,P. Pritchard,G. Williams,D. White,R. Williams,A. Wiggins,N. Bjelica,K. Thompson,J. Poole,D. Green,0,0,128,848
J. Tatum,P. Pritchard,M. Smart,D. White,R. Williams,A. Wiggins,N. Bjelica,K. Thompson,J. Poole,D. Green,0,691,25,873
J. Tatum,P. Pritchard,M. Smart,J. Brown,R. Williams,A. Wiggins,N. Bjelica,K. Thompson,J. Poole,D. Green,145,48,119,992
J. Tatum,P. Pritchard,M. Smart,J. Brown,R. Williams,A. Wiggins,K. Thompson,S. Curry,J. Poole,D. Green,0,180,32,1024
J. Tatum,A. Horford,P. Pritchard,M. Smart,J. Brown,A. Wiggins,K. Thompson,S. Curry,J. Poole,D. Green,218,87,66,1090
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,G. Payton,S. Curry,J. Poole,0,47,61,1151
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,G. Payton,K. Thompson,S. Curry,233,51,111,1262
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,180,360,16,1278
J. Tatum,A. Horford,M. Smart,D. White,R. Williams,A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,88,88,162,1440
J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,A. Wiggins,K. Thompson,O. Porter,S. Curry,D. Green,102,113,253,1693
J. Tatum,M. Smart,J. Brown,D. White,R. Williams,A. Wiggins,K. Thompson,O. Porter,S. Curry,D. Green,360,180,16,1709
J. Tatum,M. Smart,J. Brown,D. White,R. Williams,A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,112,112,77,1786
G. Williams,M. Smart,J. Brown,D. White,R. Williams,A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,91,128,157,1943
J. Tatum,A. Horford,G. Williams,M. Smart,D. White,A. Wiggins,K. Looney,G. Payton,O. Porter,S. Curry,0,130,66,2009
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,K. Looney,G. Payton,K. Thompson,S. Curry,J. Poole,169,0,34,2043
